week,game_id,play_id,player_name,possession_team,defensive_team,pass_result,pass_length,route_of_targeted_receiver,game_clock,down,num_collision,collision_risk_score,ball_land_x,ball_land_y
15,2023121400,1480,Davante Adams,LV,LAC,I,13,CROSS,10:46,1,2,51.17820512255924,68.4100036621094,34.2200012207031
15,2023121400,1751,Quentin Johnston,LAC,LV,C,16,GO,08:20,2,2,59.130111601258875,37.2799987792969,33.439998626709
15,2023121400,192,Tre Tucker,LV,LAC,I,44,GO,12:54,2,2,82.79610648778988,90.0100021362305,47.1699981689453
15,2023121400,2467,Jakobi Meyers,LV,LAC,I,11,HITCH,12:51,1,2,77.79522547658108,82.2099990844727,45.9700012207031
15,2023121400,260,Davante Adams,LV,LAC,C,3,HITCH,12:07,2,3,100,58.1599998474121,22.9599990844727
15,2023121400,2967,Michael Mayer,LV,LAC,C,4,OUT,05:47,3,2,83.33328606082296,38.4199981689453,33.3800010681152
15,2023121400,3115,Gerald Everett,LAC,LV,C,4,HITCH,02:55,2,2,82.50602140802798,83.2200012207031,15.5299997329712
15,2023121400,390,Jakobi Meyers,LV,LAC,I,4,OUT,09:01,1,2,83.33280066773554,99.5599975585938,4.36999988555908
15,2023121400,660,Davante Adams,LV,LAC,I,12,GO,05:29,2,2,82.81575007537931,81.7799987792969,50.5400009155273
15,2023121600,1910,Tee Higgins,CIN,MIN,I,40,GO,00:17,2,2,83.32428354657533,43.5400009155273,49.5400009155273
15,2023121600,2136,Justin Jefferson,MIN,CIN,C,12,OUT,13:42,2,2,82.71609744577692,63.1699981689453,4.21999979019165
15,2023121600,2428,Irv Smith,CIN,MIN,IN,18,OUT,09:15,2,2,76.25765161150098,60.9500007629395,45.7599983215332
15,2023121600,4168,Tee Higgins,CIN,MIN,I,40,HITCH,08:41,3,2,82.99046385846319,63.5,5.55999994277954
15,2023121600,4385,Tyler Boyd,CIN,MIN,C,20,IN,05:31,3,2,83.15627635218668,70.4199981689453,12.2200002670288
15,2023121601,1378,George Pickens,PIT,IND,IN,39,POST,09:39,1,2,83.01379926949025,23.9300003051758,21.8799991607666
15,2023121601,3562,Allen Robinson,PIT,IND,C,6,HITCH,08:28,1,3,100,51.8699989318848,9.0600004196167
15,2023121602,1139,Sam LaPorta,DET,DEN,C,2,CROSS,12:41,1,2,83.13228062641956,92.3199996948242,44.2599983215332
15,2023121700,108,Rachaad White,TB,GB,C,6,ANGLE,13:52,2,2,83.33333333051381,54.1399993896484,20.9599990844727
15,2023121700,2318,Dontayvion Wicks,GB,TB,C,5,CROSS,08:52,1,2,83.0148585120666,52.8600006103516,18.9300003051758
15,2023121700,2443,Malik Heath,GB,TB,C,15,GO,06:44,1,2,74.77846311742628,30.9300003051758,47.9799995422363
15,2023121700,2553,Jayden Reed,GB,TB,C,17,CORNER,04:26,3,2,82.77211928329025,4.23999977111816,52.560001373291
15,2023121700,3430,Romeo Doubs,GB,TB,C,12,HITCH,06:26,1,3,100,42.0999984741211,48.2599983215332
15,2023121701,1300,Jaylen Waddle,MIA,NYJ,C,41,GO,07:51,1,2,79.27097823851848,88.1900024414062,45.5900001525879
15,2023121701,1742,Cedrick Wilson Jr.,MIA,NYJ,I,6,OUT,02:20,1,2,83.33333253391261,80.620002746582,12.0699996948242
15,2023121701,3304,Randall Cobb,NYJ,MIA,I,5,IN,08:41,2,2,83.33333333329443,70.6100006103516,32.310001373291
15,2023121701,3732,Randall Cobb,NYJ,MIA,I,37,GO,02:57,3,2,82.92452992782083,81.6999969482422,41.7099990844727
15,2023121701,545,Tyler Conklin,NYJ,MIA,I,14,GO,06:29,1,2,83.33333324895044,58.7700004577637,2.90000009536743
15,2023121702,1574,Jalin Hyatt,NYG,NO,I,5,SLANT,02:55,1,2,83.11964717082732,63.1599998474121,14.7299995422363
15,2023121702,178,Saquon Barkley,NYG,NO,C,15,FLAT,12:44,2,2,81.74496829266138,64.2900009155273,2.49000000953674
15,2023121702,3643,Isaiah Hodgins,NYG,NO,I,18,GO,04:03,1,2,83.33300874883298,63.189998626709,51.8199996948242
15,2023121702,3834,Eric Gray,NYG,NO,I,10,HITCH,02:04,4,3,92.65470853209928,89.0999984741211,53.3499984741211
15,2023121703,338,Nick Westbrook-Ikhine,TEN,HOU,C,33,GO,08:10,3,2,76.89430004505117,103.449996948242,49.810001373291
15,2023121703,3571,DeAndre Hopkins,TEN,HOU,I,34,POST,02:57,2,2,80.68285865726936,49.8499984741211,25.6200008392334
15,2023121703,4421,DeAndre Hopkins,TEN,HOU,I,21,GO,02:47,1,2,80.46603085318745,40.939998626709,56.4199981689453
15,2023121703,564,Noah Brown,HOU,TEN,C,3,OUT,06:32,2,2,83.00536770000187,73.4899978637695,46.2700004577637
15,2023121703,652,Xavier Hutchinson,HOU,TEN,I,1,CROSS,04:50,3,2,83.33302734427782,64.4499969482422,18.2199993133545
15,2023121704,1010,Deebo Samuel Sr.,SF,ARI,I,17,IN,14:11,1,2,83.2348348308579,69.1900024414062,23.2000007629395
15,2023121704,2170,Deebo Samuel Sr.,SF,ARI,I,6,CROSS,14:20,2,2,68.62078320301562,39,43.2700004577637
15,2023121704,3429,Deebo Samuel Sr.,SF,ARI,C,19,GO,07:14,2,2,83.02961864116786,10.8699998855591,2.27999997138977
